"Year","Province","Normalization","Measure","Value"
1983,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8523.96054371016
1984,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-9183.33409716033
1985,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10428.2076733848
1986,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-9854.5208833417
1987,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-9803.96013336386
1988,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10400.4037410218
1989,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10398.8092124849
1990,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-11116.4555609
1991,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-9936.23372426794
1992,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10763.8392095279
1993,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10330.5417896124
1994,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10371.4075393506
1995,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10008.2131858052
1996,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10161.6104950637
1997,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-9047.28311398868
1998,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-10132.6283336943
1999,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-9722.69471271801
2000,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8090.14359772595
2001,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-8173.59747039662
2002,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-7302.688645013
2003,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-6905.01827838909
2004,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-5942.03275194077
2005,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-13437.6130447325
2006,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-6723.2466046063
2007,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-5985.70471716849
2008,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-4248.10838116023
2009,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-6483.69242721261
2010,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-6407.11167256033
2011,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-4431.70151890086
2012,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-3953.71647670596
2013,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2835.74751378964
2014,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2446.62018983573
2015,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2761.23647633122
2016,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2920.42614588305
2017,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-3435.18284339486
2018,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-2387.37850041415
2019,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-4211.91381370221
2020,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-11435.3359747643
2021,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-7090.57719971441
2022,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Balance",-4454.60975108941
1961,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3549.47957122883
1962,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3722.19130962618
1963,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3651.47918717073
1964,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3614.53723146503
1965,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3654.7619047619
1966,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3857.75429326288
1967,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-4357.91812169216
1968,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-4681.01728723404
1969,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-4425.29839484154
1970,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-3938.16884661118
1971,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-4291.88572451581
1972,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-4492.2689238203
1973,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-4589.8695481112
1974,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-6259.09613713332
1975,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7897.49786826582
1976,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8149.79401480329
1977,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9444.32804620798
1978,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9205.02241475673
1979,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9345.46430640125
1980,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-10970.132043621
1981,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-10526.3728785874
1982,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9893.79694609972
1983,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9489.03984233665
1984,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9696.1823375145
1985,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-10241.0345792958
1986,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9514.14477888484
1987,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9314.76013751615
1988,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9760.98048314847
1989,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9652.49513533351
1990,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9915.57245490736
1991,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9108.79042849017
1992,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9154.15829663571
1993,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9513.09162277251
1994,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9997.1542376349
1995,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9782.03692366186
1996,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9065.24632209452
1997,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7925.12052750691
1998,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7634.94304407471
1999,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7430.27660815698
2000,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7192.84551180499
2001,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7599.96337284612
2002,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-6978.12076618487
2003,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-6797.91600320588
2004,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-6467.08027708837
2005,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9353.00457416075
2006,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7081.01719632017
2007,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-7401.54810339746
2008,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8540.81715549279
2009,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8922.87263539694
2010,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9214.81946609757
2011,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8928.96146153476
2012,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9163.60608160477
2013,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8968.41453456319
2014,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8381.85447030655
2015,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8479.2032054569
2016,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8514.61653931714
2017,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8674.58374315651
2018,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-8130.53530871932
2019,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9248.25321200614
2020,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-14271.0165084057
2021,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-11252.0194857017
2022,"Nova Scotia","Real Per Capita ($ 2020)","Balance",-9312.3145946211
1961,"Ontario","Real Per Capita ($ 2020)","Balance",943.327597315217
1962,"Ontario","Real Per Capita ($ 2020)","Balance",892.350216201147
1963,"Ontario","Real Per Capita ($ 2020)","Balance",1058.09370211
1964,"Ontario","Real Per Capita ($ 2020)","Balance",1552.30727450218
1965,"Ontario","Real Per Capita ($ 2020)","Balance",1875.93708657945
1966,"Ontario","Real Per Capita ($ 2020)","Balance",2095.29597248101
1967,"Ontario","Real Per Capita ($ 2020)","Balance",2094.83082721308
1968,"Ontario","Real Per Capita ($ 2020)","Balance",2195.5341083571
1969,"Ontario","Real Per Capita ($ 2020)","Balance",2705.32922887782
1970,"Ontario","Real Per Capita ($ 2020)","Balance",2365.61021630343
1971,"Ontario","Real Per Capita ($ 2020)","Balance",2379.82991806458
1972,"Ontario","Real Per Capita ($ 2020)","Balance",2418.96053435164
1973,"Ontario","Real Per Capita ($ 2020)","Balance",2765.63728727046
1974,"Ontario","Real Per Capita ($ 2020)","Balance",3038.04004991719
1975,"Ontario","Real Per Capita ($ 2020)","Balance",1793.53888672365
1976,"Ontario","Real Per Capita ($ 2020)","Balance",1914.92957114974
1977,"Ontario","Real Per Capita ($ 2020)","Balance",1318.66116029012
1978,"Ontario","Real Per Capita ($ 2020)","Balance",1098.89567988005
1979,"Ontario","Real Per Capita ($ 2020)","Balance",1303.04379267447
1980,"Ontario","Real Per Capita ($ 2020)","Balance",1338.63177531189
1981,"Ontario","Real Per Capita ($ 2020)","Balance",1441.60715454021
1982,"Ontario","Real Per Capita ($ 2020)","Balance",447.372161592783
1983,"Ontario","Real Per Capita ($ 2020)","Balance",99.0345237516596
1984,"Ontario","Real Per Capita ($ 2020)","Balance",71.8510192444227
1985,"Ontario","Real Per Capita ($ 2020)","Balance",73.8488789849918
1986,"Ontario","Real Per Capita ($ 2020)","Balance",1411.88864384623
1987,"Ontario","Real Per Capita ($ 2020)","Balance",1789.80517066869
1988,"Ontario","Real Per Capita ($ 2020)","Balance",2131.66371030522
1989,"Ontario","Real Per Capita ($ 2020)","Balance",1891.88264431086
1990,"Ontario","Real Per Capita ($ 2020)","Balance",1225.04496410364
1991,"Ontario","Real Per Capita ($ 2020)","Balance",412.086902137006
1992,"Ontario","Real Per Capita ($ 2020)","Balance",342.21810871053
1993,"Ontario","Real Per Capita ($ 2020)","Balance",-279.57551668163
1994,"Ontario","Real Per Capita ($ 2020)","Balance",-60.3364441272008
1995,"Ontario","Real Per Capita ($ 2020)","Balance",252.67505474673
1996,"Ontario","Real Per Capita ($ 2020)","Balance",1032.63544084044
1997,"Ontario","Real Per Capita ($ 2020)","Balance",2358.76729061168
1998,"Ontario","Real Per Capita ($ 2020)","Balance",2768.84926180928
1999,"Ontario","Real Per Capita ($ 2020)","Balance",3329.31050205616
2000,"Ontario","Real Per Capita ($ 2020)","Balance",3980.00453380951
2001,"Ontario","Real Per Capita ($ 2020)","Balance",3525.76852650687
2002,"Ontario","Real Per Capita ($ 2020)","Balance",3131.72276171982
2003,"Ontario","Real Per Capita ($ 2020)","Balance",2796.88587792138
2004,"Ontario","Real Per Capita ($ 2020)","Balance",3140.11871207422
2005,"Ontario","Real Per Capita ($ 2020)","Balance",2875.75821996941
2006,"Ontario","Real Per Capita ($ 2020)","Balance",2873.36840132676
2007,"Ontario","Real Per Capita ($ 2020)","Balance",2570.53919038938
2008,"Ontario","Real Per Capita ($ 2020)","Balance",1461.48042004142
2009,"Ontario","Real Per Capita ($ 2020)","Balance",134.930034005647
2010,"Ontario","Real Per Capita ($ 2020)","Balance",-798.92093705219
2011,"Ontario","Real Per Capita ($ 2020)","Balance",239.726862361829
2012,"Ontario","Real Per Capita ($ 2020)","Balance",425.680295303398
2013,"Ontario","Real Per Capita ($ 2020)","Balance",533.21587156579
2014,"Ontario","Real Per Capita ($ 2020)","Balance",1115.2092982667
2015,"Ontario","Real Per Capita ($ 2020)","Balance",1496.29802919105
2016,"Ontario","Real Per Capita ($ 2020)","Balance",1632.341624142
2017,"Ontario","Real Per Capita ($ 2020)","Balance",1924.25505027282
2018,"Ontario","Real Per Capita ($ 2020)","Balance",2272.69711091328
2019,"Ontario","Real Per Capita ($ 2020)","Balance",1877.23552459172
2020,"Ontario","Real Per Capita ($ 2020)","Balance",-4219.65860172284
2021,"Ontario","Real Per Capita ($ 2020)","Balance",-58.7642065559482
2022,"Ontario","Real Per Capita ($ 2020)","Balance",2202.20291770377
1961,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-3301.91082802548
1962,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-3821.54822782578
1963,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-4000
1964,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-4144.55135377042
1965,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-4541.28440366972
1966,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-4438.89908256881
1967,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-5211.41466876172
1968,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-5191.10251450677
1969,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-5462.47770613253
1970,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-5890.90909090909
1971,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-6489.67880059082
1972,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7180.37133356997
1973,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7322.35330302932
1974,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7962.59790815917
1975,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9344.82641455936
1976,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10366.9618755015
1977,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10883.888508949
1978,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11508.9824166977
1979,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10489.3192822558
1980,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10358.9415796956
1981,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9023.87751543161
1982,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10161.7378099736
1983,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9839.48904922499
1984,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11493.1999192982
1985,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11941.79550067
1986,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10749.4935315606
1987,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10483.9036855637
1988,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10906.3216184698
1989,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11182.232215306
1990,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11831.3636303882
1991,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10169.1286305393
1992,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9823.66025361737
1993,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9220.85572171385
1994,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9519.78623084962
1995,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9245.54347377449
1996,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7768.61275095499
1997,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7877.69605237362
1998,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7853.33853508292
1999,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-8550.9385964536
2000,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7746.25980414522
2001,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-8755.81529237563
2002,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7522.44301578024
2003,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7363.35678742306
2004,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-6786.38560575663
2005,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7921.88479838146
2006,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-7569.40410502166
2007,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-8793.4591558529
2008,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10123.7672104816
2009,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11602.0400098718
2010,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-11846.6497373065
2011,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-10274.9503499582
2012,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9507.32493576635
2013,"Prince Edward Island","Real Per Capita ($ 2020)","Balance",-9877.9167363107
